iter	Logloss
0	0.6930442433
1	0.6913028528
2	0.690618158
3	0.6888583535
4	0.6878834685
5	0.6863007534
6	0.6849452793
7	0.6840645773
8	0.6838630695
9	0.6835761027
10	0.6835646487
11	0.6829280257
12	0.6821961022
13	0.6814581085
14	0.6804648889
15	0.6782279055
16	0.6772061455
17	0.676596609
18	0.6752568711
19	0.6749107372
20	0.6739224851
21	0.6726357444
22	0.6716381158
23	0.6712705655
24	0.6708481046
25	0.6700974318
26	0.6700974313
27	0.6695749164
28	0.669134835
29	0.6689559864
30	0.6689540094
31	0.6684466926
32	0.6676917199
33	0.6663032996
34	0.6654899747
35	0.6654899745
36	0.6647037745
37	0.663807493
38	0.6630275145
39	0.6620627315
40	0.6617055064
41	0.660998188
42	0.6600293159
43	0.658772934
44	0.6586816193
45	0.6580082938
46	0.6579121688
47	0.6579121688
48	0.6568658868
49	0.6563853809
50	0.6555956426
51	0.6552263667
52	0.6548333941
53	0.6541338519
54	0.6524254015
55	0.6524037015
56	0.6521582523
57	0.6520719367
58	0.6516082638
59	0.651534082
60	0.6505888667
61	0.650480789
62	0.6504807567
63	0.6492031679
64	0.6491522052
65	0.6476980851
66	0.6475293778
67	0.6457556279
68	0.6450218968
69	0.6448396557
70	0.6440041813
71	0.6425737389
72	0.6421154454
73	0.6419620365
74	0.6402835715
75	0.6402787892
76	0.6398541508
77	0.6395169562
78	0.6386488721
79	0.6377518111
80	0.6376116397
81	0.6373030522
82	0.6358521565
83	0.6354325085
84	0.6339718239
85	0.6334718753
86	0.6320192833
87	0.6311995392
88	0.6310998177
89	0.6296838617
90	0.629683858
91	0.628999339
92	0.6284019312
93	0.6282917377
94	0.627026587
95	0.6251025981
96	0.624953559
97	0.6249476742
98	0.6246014872
99	0.6234085976
100	0.6219564963
101	0.6214291451
102	0.621183464
103	0.6205521449
104	0.6200824791
105	0.6195541757
106	0.6185385991
107	0.617091268
108	0.6158014886
109	0.6148090821
110	0.6140100435
111	0.6130350822
112	0.6126650617
113	0.6109402595
114	0.6103935267
115	0.6099992565
116	0.6088089561
117	0.6083955387
118	0.6074997747
119	0.6054820432
